"Month","County","Ozone","PM2.5"
1,"Avery",35.1132075471698,10.8
1,"Durham",34,37
1,"Edgecombe",35.5,15.9677419354839
1,"Haywood",39.7796610169492,6.82352941176471
1,"Johnston",31.2333333333333,28.6774193548387
1,"Mecklenburg",28.2747252747253,33.1630769230769
1,"Montgomery",31.7586206896552,27.7903225806452
1,"Wake",30.95,33.3872832369942
1,"Buncombe",NA,24.7236842105263
1,"Cumberland",NA,31.2533333333333
1,"Forsyth",NA,35.2105263157895
1,"Guilford",NA,28.3833333333333
1,"New Hanover",NA,13.7758620689655
1,"Pitt",NA,23.0740740740741
1,"Swain",NA,34.3387096774194
2,"Avery",36.40625,12.4210526315789
2,"Buncombe",37.7142857142857,22.3802816901408
2,"Cumberland",36.5833333333333,27.3783783783784
2,"Durham",32.0740740740741,34.8933333333333
2,"Edgecombe",34.5555555555556,20.6607142857143
2,"Forsyth",41,33.4130434782609
2,"Guilford",40.6,28.0178571428571
2,"Haywood",37.8266666666667,7
2,"Johnston",36.8181818181818,29.625
2,"Mecklenburg",30.3823529411765,31.9897610921502
2,"Montgomery",33.1041666666667,26.2678571428571
2,"New Hanover",35.75,12.7090909090909
2,"Pitt",33.5,22.7910447761194
2,"Swain",32.4,30.125
2,"Wake",30.9464285714286,35.4
3,"Avery",44.8495575221239,19.5555555555556
3,"Buncombe",43.7096774193548,25.2987012987013
3,"Cumberland",42.6147540983607,28.8591549295775
3,"Durham",41.0806451612903,33.2933333333333
3,"Edgecombe",41.2786885245902,19.4423076923077
3,"Forsyth",42.6413043478261,31.1192052980132
3,"Guilford",44.4193548387097,27.1333333333333
3,"Haywood",46.448275862069,13.6666666666667
3,"Johnston",41.6935483870968,28.2166666666667
3,"Mecklenburg",40.7822580645161,32.9335443037975
3,"Montgomery",41.7377049180328,31.4655172413793
3,"New Hanover",42.8333333333333,17.3584905660377
3,"Pitt",41.65,23.3333333333333
3,"Swain",42.5163934426229,33.7017543859649
3,"Wake",42,32.4852071005917
4,"Avery",49.9557522123894,16
4,"Buncombe",47.9661016949153,25.3783783783784
4,"Cumberland",46.7416666666667,27.8243243243243
4,"Durham",45.3666666666667,29.2465753424658
4,"Edgecombe",45.3962264150943,25.5666666666667
4,"Forsyth",48.35,31.6861313868613
4,"Guilford",49.7719298245614,25.5344827586207
4,"Haywood",50.8439306358381,14.3
4,"Johnston",45.7,32.1333333333333
4,"Mecklenburg",46.1848739495798,31.297520661157
4,"Montgomery",44.2833333333333,28.2
4,"New Hanover",46.8983050847458,14.6101694915254
4,"Pitt",47.6315789473684,26.4545454545455
4,"Swain",46.0625,27.45
4,"Wake",46.3833333333333,36.1702127659574
5,"Avery",44.5806451612903,24.6
5,"Buncombe",41.2096774193548,33.1538461538462
5,"Cumberland",45.4227642276423,31.3972602739726
5,"Durham",42.7377049180328,31.9868421052632
5,"Edgecombe",42.5862068965517,29.5263157894737
5,"Forsyth",45.6847826086956,37.4964539007092
5,"Guilford",49.3225806451613,30.7924528301887
5,"Haywood",45.6588235294118,23.1
5,"Johnston",42.3064516129032,35.8852459016393
5,"Mecklenburg",47.7723577235772,35.1651785714286
5,"Montgomery",38.6101694915254,29.1612903225806
5,"New Hanover",40.1833333333333,14.7450980392157
5,"Pitt",45.0645161290323,30.6197183098592
5,"Swain",38.9137931034483,32.6666666666667
5,"Wake",45.4032258064516,37.3582887700535
6,"Avery",41.0084745762712,26.8
6,"Buncombe",41.5666666666667,29.8028169014085
6,"Cumberland",47.4833333333333,36.4936708860759
6,"Durham",45.5,35.2
6,"Edgecombe",43.9137931034483,37.55
6,"Forsyth",48.5222222222222,36.1805555555556
6,"Guilford",50.6,33.45
6,"Haywood",44.5932203389831,25
6,"Johnston",46.8666666666667,41.2333333333333
6,"Mecklenburg",53.2083333333333,37.5972222222222
6,"Montgomery",42.2857142857143,33.2166666666667
6,"New Hanover",42.7833333333333,21.0862068965517
6,"Pitt",47.75,34.675
6,"Swain",36.3361344537815,29
6,"Wake",49.8333333333333,39.5077720207254
7,"Avery",35.6859504132231,29.9090909090909
7,"Buncombe",37.0483870967742,33.9113924050633
7,"Cumberland",44.7560975609756,33.962962962963
7,"Durham",43.4193548387097,39
7,"Edgecombe",41.3548387096774,37.6727272727273
7,"Forsyth",47.9891891891892,37.1788079470199
7,"Guilford",47.8064516129032,34.6333333333333
7,"Haywood",39.6108108108108,23
7,"Johnston",43.3548387096774,39.7741935483871
7,"Mecklenburg",51.8467741935484,39.5849056603774
7,"Montgomery",39.4814814814815,31.2741935483871
7,"New Hanover",37.1451612903226,19.3508771929825
7,"Pitt",42.2258064516129,34.6986301369863
7,"Swain",32.3879310344828,33.95
7,"Wake",46.0483870967742,39.6532663316583
8,"Avery",33.6018518518519,26.3
8,"Buncombe",34.8225806451613,30.5194805194805
8,"Cumberland",38.7073170731707,32.4285714285714
8,"Durham",40.9516129032258,33.2682926829268
8,"Edgecombe",35.4516129032258,32.2666666666667
8,"Forsyth",43.241935483871,36.9530201342282
8,"Guilford",45.3770491803279,31.5322580645161
8,"Haywood",38.1684782608696,26.3333333333333
8,"Johnston",36.758064516129,34.8965517241379
8,"Mecklenburg",50.219512195122,36.5879120879121
8,"Montgomery",34.2241379310345,31.3050847457627
8,"New Hanover",33.2758620689655,17.2857142857143
8,"Pitt",36.9677419354839,32.7241379310345
8,"Swain",31.0826446280992,32.6862745098039
8,"Wake",43,37.251256281407
9,"Avery",34.325,21.7
9,"Buncombe",35.9152542372881,28.1081081081081
9,"Cumberland",38.0823529411765,32.1186440677966
